benchmark,version,queries,changed_cells,hit_mismatch,relevant_mismatch,raw_ndcg_mismatch,old_mrr,new_mrr,delta_mrr,old_ndcg,new_ndcg,delta_ndcg
Cloudbench,ablation_cap_only,115,435,0,0,0,0.412931,0.062661,-0.350270,0.535074,0.099128,-0.435946
Cloudbench,ablation_img_only,115,429,0,0,0,0.274034,0.059669,-0.214365,0.483532,0.064019,-0.419513
Cloudbench,ablation_vec_only,115,426,0,0,0,0.324439,0.042269,-0.282170,0.489526,0.079910,-0.409616
Cloudbench,baseline,115,439,0,0,0,0.299384,0.021332,-0.278052,0.490666,0.040878,-0.449787
Cloudbench,v10,115,443,0,0,0,0.422418,0.029579,-0.392839,0.531803,0.066930,-0.464873
Cloudbench,v11,115,432,0,0,0,0.338866,0.041493,-0.297373,0.498933,0.091593,-0.407340
Cloudbench,v12,115,433,0,0,0,0.419258,0.046615,-0.372643,0.546148,0.093494,-0.452654
Cloudbench,v13,115,420,0,0,0,0.356502,0.057632,-0.298870,0.520341,0.103058,-0.417283
Cloudbench,v14,115,430,0,0,0,0.318207,0.045178,-0.273029,0.504974,0.074438,-0.430535
Cloudbench,v15,115,427,0,0,0,0.364005,0.065570,-0.298435,0.523383,0.105275,-0.418108
Cloudbench,v16,115,434,0,0,0,0.345399,0.055412,-0.289987,0.509417,0.095333,-0.414083
Cloudbench,v16/v16_qa04_ca05,115,427,0,0,0,0.364367,0.065570,-0.298797,0.523388,0.105246,-0.418142
Cloudbench,v16/v16_qa04_ca085,115,427,0,0,0,0.364212,0.065570,-0.298642,0.523399,0.105246,-0.418153
Cloudbench,v16/v16_qa05_ca07,115,427,0,0,0,0.364367,0.065570,-0.298797,0.523466,0.105275,-0.418191
Cloudbench,v16/v16_qa065_ca07,115,434,0,0,0,0.345399,0.055412,-0.289987,0.509417,0.095333,-0.414083
Cloudbench,v16/v16_qa06_ca07,115,434,0,0,0,0.345399,0.055412,-0.289987,0.509326,0.095333,-0.413993
Cloudbench,v16/v16_qa06_ca085,115,434,0,0,0,0.345399,0.055412,-0.289987,0.509355,0.095333,-0.414022
Cloudbench,v16/v16_qa07_ca07,115,433,0,0,0,0.292835,0.062419,-0.230416,0.464867,0.088724,-0.376143
Commonobjectsbench,ablation_cap_only,291,653,0,0,0,0.283007,0.174924,-0.108082,0.387466,0.237996,-0.149470
Commonobjectsbench,ablation_img_only,291,745,0,0,0,0.427027,0.265653,-0.161374,0.448614,0.227345,-0.221270
Commonobjectsbench,ablation_vec_only,291,759,0,0,0,0.367587,0.200356,-0.167232,0.480570,0.297161,-0.183408
Commonobjectsbench,baseline,291,803,0,0,0,0.321028,0.164983,-0.156045,0.414032,0.164603,-0.249429
Commonobjectsbench,v10,291,771,0,0,0,0.371695,0.178307,-0.193388,0.472282,0.266344,-0.205938
Commonobjectsbench,v11,291,757,0,0,0,0.386467,0.220065,-0.166402,0.482308,0.304077,-0.178231
Commonobjectsbench,v12,291,787,0,0,0,0.315110,0.165180,-0.149930,0.451942,0.261192,-0.190750
Commonobjectsbench,v13,291,846,0,0,0,0.384154,0.216666,-0.167487,0.477689,0.267074,-0.210615
Commonobjectsbench,v14,291,808,0,0,0,0.409236,0.247473,-0.161763,0.501810,0.309695,-0.192115
Commonobjectsbench,v15,291,834,0,0,0,0.412663,0.228579,-0.184083,0.491875,0.276778,-0.215097
Commonobjectsbench,v16,291,772,0,0,0,0.447061,0.259268,-0.187793,0.513947,0.320486,-0.193461
Commonobjectsbench,v16/v16_qa04_ca05,291,834,0,0,0,0.414129,0.229841,-0.184288,0.491860,0.276788,-0.215072
Commonobjectsbench,v16/v16_qa04_ca085,291,835,0,0,0,0.410044,0.225799,-0.184245,0.491973,0.276788,-0.215185
Commonobjectsbench,v16/v16_qa05_ca07,291,834,0,0,0,0.414129,0.229841,-0.184288,0.491858,0.276788,-0.215069
Commonobjectsbench,v16/v16_qa065_ca07,291,772,0,0,0,0.447061,0.259268,-0.187793,0.513947,0.320486,-0.193461
Commonobjectsbench,v16/v16_qa06_ca07,291,770,0,0,0,0.445880,0.258416,-0.187464,0.514229,0.320935,-0.193294
Commonobjectsbench,v16/v16_qa06_ca085,291,779,0,0,0,0.444818,0.257782,-0.187035,0.512588,0.318882,-0.193706
Commonobjectsbench,v16/v16_qa07_ca07,291,747,0,0,0,0.429843,0.271956,-0.157886,0.517933,0.353846,-0.164088
Firebench,ablation_cap_only,100,370,0,0,0,0.660476,0.135318,-0.525158,0.766737,0.227758,-0.538979
Firebench,ablation_img_only,100,359,0,0,0,0.733111,0.203424,-0.529687,0.805750,0.288897,-0.516853
Firebench,ablation_vec_only,100,351,0,0,0,0.557837,0.190846,-0.366992,0.722610,0.282582,-0.440028
Firebench,baseline,100,368,0,0,0,0.662626,0.170756,-0.491870,0.816923,0.265473,-0.551450
